db,spec_code,species,length
fb,705,squaliolus laticaudus,22
fb,706,lithognathus mormyrus,28
fb,707,cirrhigaleus asper,115
fb,708,squalus blainville,64.45
fb,709,squalus cubensis,110
fb,710,squalus japonicus,91
fb,711,squalus megalops,60.75
fb,712,squalus melanurus,83.81
fb,713,squalus mitsukurii,84.9
fb,714,squalus rancureli,86.04
fb,715,oxynotus bruniensis,60
fb,716,lophius piscatorius,86
fb,717,oxynotus caribbaeus,49
fb,718,oxynotus centrina,80
fb,719,oxynotus paradoxus,120
fb,720,pliotrema warreni,170
fb,721,pristiophorus cirratus,135.5
fb,722,pristiophorus japonicus,151.97
fb,723,pristiophorus nudipinnis,115.5999984741211
fb,724,pristiophorus schroederi,80
fb,725,squatina aculeata,188
fb,726,squatina africana,84
fb,727,squatina argentina,170
fb,728,squatina australis,113
fb,729,squatina californica,152
fb,730,anchoa mundeola,12.5
fb,731,squatina dumeril,152
fb,732,squatina formosa,55.400001525878906
fb,733,squatina japonica,200
fb,734,squatina nebulosa,182.14
fb,735,squatina oculata,160
fb,736,squatina squatina,136.5
fb,737,squatina tergocellata,135
fb,738,squatina tergocellatoides,63
fb,739,heterodontus francisci,122
fb,740,heterodontus galeatus,152
fb,741,heterodontus japonicus,120
fb,742,heterodontus mexicanus,145
fb,743,heterodontus portusjacksoni,109
fb,744,heterodontus quoyi,107
fb,745,heterodontus ramalheira,64
fb,746,heterodontus zebra,125
fb,747,carcharias taurus,282
fb,748,carcharias tricuspidatus,370
fb,749,odontaspis ferox,400
fb,750,odontaspis noronhai,346
fb,751,carcharodon carcharias,530
fb,752,isurus oxyrinchus,328
fb,753,isurus paucus,422
fb,754,maurolicus muelleri,5.55
fb,755,lamna ditropis,305
fb,756,eucrossorhinus dasypogon,180
fb,757,orectolobus japonicus,118
fb,758,orectolobus maculatus,320
fb,759,orectolobus ornatus,120
fb,760,orectolobus wardi,63
fb,761,sutorectus tentaculatus,92
fb,763,apristurus brunneus,69
fb,764,apristurus canutus,43
fb,765,apristurus herklotsi,48.5
fb,766,apristurus indicus,34
fb,767,apristurus investigatoris,26
fb,768,apristurus japonicus,71
fb,769,apristurus kampae,57.70000076293945
fb,770,apristurus laurussonii,76
fb,771,apristurus longicephalus,51
fb,772,apristurus macrorhynchus,73.75
fb,774,apristurus manis,85
fb,775,apristurus microps,61
fb,776,apristurus nasutus,70
fb,777,apristurus parvipinnis,48
fb,778,apristurus platyrhynchus,80
fb,779,apristurus profundorum,54.20000076293945
fb,780,apristurus riveri,46
fb,781,apristurus saldanha,88
fb,782,apristurus sibogae,21
fb,783,apristurus sinensis,42
fb,784,apristurus spongiceps,50
fb,785,mugil cephalus,41.6
fb,788,asymbolus analis,90
fb,789,asymbolus vincenti,61
fb,790,mullus barbatus,20.6
fb,791,atelomycterus macleayi,60
fb,793,lutjanus ehrenbergii,25
fb,794,lutjanus endecacanthus,85
fb,795,aulohalaelurus labiosus,74.87
fb,796,cephaloscyllium fasciatum,42
fb,797,cephaloscyllium laticeps,100
fb,798,cephaloscyllium laticeps,150
fb,800,cephaloscyllium silasi,33.89999961853027
fb,801,cephaloscyllium sufflans,110
fb,802,cephaloscyllium ventriosum,110
fb,803,cephalurus cephalus,29.5
fb,804,galeus arae,36
fb,805,figaro boardmani,61
fb,806,galeus eastmani,40
fb,807,galeus melastomus,62
fb,808,galeus murinus,63
fb,809,galeus nipponensis,70
fb,810,galeus piperatus,29
fb,811,galeus polli,30.5
fb,812,galeus sauteri,38
fb,813,galeus schultzi,33.52
fb,814,bythaelurus alcockii,30
fb,815,halaelurus boesemani,48
fb,816,halaelurus buergeri,47.5
fb,817,bythaelurus canescens,70
fb,818,bythaelurus dawsoni,45
fb,819,bythaelurus hispidus,26
fb,820,bythaelurus immaculatus,71
fb,821,halaelurus lineatus,55.5
fb,822,bythaelurus lutarius,34
