category,sub_category,spp_gp,trait_val,sheet
foraging range,"number of sites, incl. terrestrial wetlands",Raja spp. (16 spp.),na,elasmobranchs
biomineral,NA,Raja spp. (16 spp.),na,elasmobranchs
post-birth/hatching maternal dependence,NA,Rajella spp. (18 spp.),na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Rajella spp. (18 spp.),na,elasmobranchs
biomineral,NA,Rajella spp. (18 spp.),na,elasmobranchs
post-birth/hatching maternal dependence,NA,Zearaja maugeana,na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Zearaja maugeana,na,elasmobranchs
biomineral,NA,Zearaja maugeana,na,elasmobranchs
post-birth/hatching maternal dependence,NA,Softnose Skates (Arhynchobatidae - 39 spp),na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Softnose Skates (Arhynchobatidae - 39 spp),na,elasmobranchs
biomineral,NA,Softnose Skates (Arhynchobatidae - 39 spp),na,elasmobranchs
post-birth/hatching maternal dependence,NA,Bathyraja spp. (55 spp.),na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Bathyraja spp. (55 spp.),na,elasmobranchs
biomineral,NA,Bathyraja spp. (55 spp.),na,elasmobranchs
post-birth/hatching maternal dependence,NA,Notoraja spp (11 spp.),na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Notoraja spp (11 spp.),na,elasmobranchs
biomineral,NA,Notoraja spp (11 spp.),na,elasmobranchs
post-birth/hatching maternal dependence,NA,Pygmy Skate (Gurgesieliidae - 19 spp.),na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Pygmy Skate (Gurgesieliidae - 19 spp.),na,elasmobranchs
biomineral,NA,Pygmy Skate (Gurgesieliidae - 19 spp.),na,elasmobranchs
post-birth/hatching maternal dependence,NA,Legskates (Anacanthobatidae - 13 spp.),na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Legskates (Anacanthobatidae - 13 spp.),na,elasmobranchs
biomineral,NA,Legskates (Anacanthobatidae - 13 spp.),na,elasmobranchs
post-birth/hatching maternal dependence,NA,Hexatrygon bickelli,na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Hexatrygon bickelli,na,elasmobranchs
biomineral,NA,Hexatrygon bickelli,na,elasmobranchs
post-birth/hatching maternal dependence,NA,Butterfly Rays (Gymnuridae - 10 spp.),na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Butterfly Rays (Gymnuridae - 10 spp.),na,elasmobranchs
biomineral,NA,Butterfly Rays (Gymnuridae - 10 spp.),na,elasmobranchs
post-birth/hatching maternal dependence,NA,"Large Tropical Stingrays (Urogymnus, Himantura, Maculabatis, Pateobatis, Taeniurops, Hypanus, - 35 spp.)",na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands","Large Tropical Stingrays (Urogymnus, Himantura, Maculabatis, Pateobatis, Taeniurops, Hypanus, - 35 spp.)",na,elasmobranchs
biomineral,NA,"Large Tropical Stingrays (Urogymnus, Himantura, Maculabatis, Pateobatis, Taeniurops, Hypanus, - 35 spp.)",na,elasmobranchs
post-birth/hatching maternal dependence,NA,Hemitrygon spp. (9 spp.),na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Hemitrygon spp. (9 spp.),na,elasmobranchs
biomineral,NA,Hemitrygon spp. (9 spp.),na,elasmobranchs
post-birth/hatching maternal dependence,NA,Brevitrygon spp. (4 spp.),na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Brevitrygon spp. (4 spp.),na,elasmobranchs
biomineral,NA,Brevitrygon spp. (4 spp.),na,elasmobranchs
post-birth/hatching maternal dependence,NA,Pastinachus spp. (5 spp.),na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Pastinachus spp. (5 spp.),na,elasmobranchs
biomineral,NA,Pastinachus spp. (5 spp.),na,elasmobranchs
post-birth/hatching maternal dependence,NA,Neotrygon spp. (10 spp.),na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Neotrygon spp. (10 spp.),na,elasmobranchs
biomineral,NA,Neotrygon spp. (10 spp.),na,elasmobranchs
post-birth/hatching maternal dependence,NA,Taeniura spp (2 spp.),na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Taeniura spp (2 spp.),na,elasmobranchs
biomineral,NA,Taeniura spp (2 spp.),na,elasmobranchs
post-birth/hatching maternal dependence,NA,Telatrygon spp. (4 spp.),na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Telatrygon spp. (4 spp.),na,elasmobranchs
biomineral,NA,Telatrygon spp. (4 spp.),na,elasmobranchs
post-birth/hatching maternal dependence,NA,Fontitrygon spp (6 spp.),na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Fontitrygon spp (6 spp.),na,elasmobranchs
biomineral,NA,Fontitrygon spp (6 spp.),na,elasmobranchs
post-birth/hatching maternal dependence,NA,Bathytoshia spp. (3 spp.),na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Bathytoshia spp. (3 spp.),na,elasmobranchs
biomineral,NA,Bathytoshia spp. (3 spp.),na,elasmobranchs
post-birth/hatching maternal dependence,NA,Dasyatis spp. (5 spp.),na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Dasyatis spp. (5 spp.),na,elasmobranchs
biomineral,NA,Dasyatis spp. (5 spp.),na,elasmobranchs
post-birth/hatching maternal dependence,NA,Pteroplatytrygon violacea,na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Pteroplatytrygon violacea,na,elasmobranchs
biomineral,NA,Pteroplatytrygon violacea,na,elasmobranchs
post-birth/hatching maternal dependence,NA,Megatrygon microps,na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Megatrygon microps,na,elasmobranchs
biomineral,NA,Megatrygon microps,na,elasmobranchs
post-birth/hatching maternal dependence,NA,Round Rays (Urotrygonidae - 16 spp.),na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Round Rays (Urotrygonidae - 16 spp.),na,elasmobranchs
biomineral,NA,Round Rays (Urotrygonidae - 16 spp.),na,elasmobranchs
post-birth/hatching maternal dependence,NA,Plesiobatis daviesi,na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Plesiobatis daviesi,na,elasmobranchs
biomineral,NA,Plesiobatis daviesi,na,elasmobranchs
post-birth/hatching maternal dependence,NA,Stingarees (Urolophidae - 28 spp.),na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Stingarees (Urolophidae - 28 spp.),na,elasmobranchs
biomineral,NA,Stingarees (Urolophidae - 28 spp.),na,elasmobranchs
post-birth/hatching maternal dependence,NA,Eagle Rays (Myliobatidae - 18 spp.),na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Eagle Rays (Myliobatidae - 18 spp.),na,elasmobranchs
biomineral,NA,Eagle Rays (Myliobatidae - 18 spp.),na,elasmobranchs
post-birth/hatching maternal dependence,NA,Pelagic Eagle Rays (Aetobatidae - 5 spp.),na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Pelagic Eagle Rays (Aetobatidae - 5 spp.),na,elasmobranchs
biomineral,NA,Pelagic Eagle Rays (Aetobatidae - 5 spp.),na,elasmobranchs
post-birth/hatching maternal dependence,NA,Cownose Rays (Rhinopteridae - 8 spp.),na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Cownose Rays (Rhinopteridae - 8 spp.),na,elasmobranchs
biomineral,NA,Cownose Rays (Rhinopteridae - 8 spp.),na,elasmobranchs
post-birth/hatching maternal dependence,NA,Devilrays (Mobulidae - 6 spp.),na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Devilrays (Mobulidae - 6 spp.),na,elasmobranchs
biomineral,NA,Devilrays (Mobulidae - 6 spp.),na,elasmobranchs
post-birth/hatching maternal dependence,NA,Mobula alfredi,na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Mobula alfredi,na,elasmobranchs
biomineral,NA,Mobula alfredi,na,elasmobranchs
post-birth/hatching maternal dependence,NA,Mobula birostris,na,elasmobranchs
foraging range,"number of sites, incl. terrestrial wetlands",Mobula birostris,na,elasmobranchs
biomineral,NA,Mobula birostris,na,elasmobranchs
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Polar Bear,na,marine_mammals
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Sea Otter,na,marine_mammals
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Pygmy Sperm Whales (Kogia breviceps),na,marine_mammals
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Beluga Whale (Delphinapterus leucas),na,marine_mammals
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Narwhal (Monodon monoceros),na,marine_mammals
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Chinese River Dolphin (Lipotes vexillifer),na,marine_mammals
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Pygmy Right (Caperea marginata),na,marine_mammals
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Gray (Eschrichtius robustus),na,marine_mammals
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Sperm Whale (Physeter macrocephalus),na,marine_mammals
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Dwarf Sperm Whale (Kogiidae),na,marine_mammals
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Indus River Dolphin (Platanista gangetica minor),na,marine_mammals
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Vaquita (Phocoena sinus),na,marine_mammals
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Vaquita (Phocoena sinus),na,marine_mammals
foraging range,"if one/few, size",Vaquita (Phocoena sinus),na,marine_mammals
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Fin whale (Balaenoptera physalus),na,marine_mammals
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Sei whale (Balaenoptera borealis),na,marine_mammals
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Humpback whale (Megaptera novaeangliae),na,marine_mammals
foraging range,"if one/few, size",Humpback whale (Megaptera novaeangliae),na,marine_mammals
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Bryde's whale (Balaenoptera brydei),na,marine_mammals
physiological tolerance breadths,sensitivity to wave energy (physical forcing),North Pacific Right Whale (Eubalaena japonica),na,marine_mammals
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Southern Right Whale (Eubalaena australis),na,marine_mammals
physiological tolerance breadths,sensitivity to wave energy (physical forcing),North Atlantic Right Whale (Eubalaena glacialis),na,marine_mammals
extreme diet specialization,NA,Avicennia marina,na,plants_algae
extreme diet specialization,NA,Posidonia australis,na,plants_algae
breeding/nesting range/number of spawning aggregations (fish),number of sites,Porolithon,na,plants_algae
foraging range,"number of sites, incl. terrestrial wetlands",Porolithon,na,plants_algae
post-birth/hatching maternal dependence,NA,Amphiprion akindynos,na,reef_other_fish
post-birth/hatching maternal dependence,NA,Parma microlepis,na,reef_other_fish
post-birth/hatching maternal dependence,NA,Osterhinchus doederleini,na,reef_other_fish
post-birth/hatching maternal dependence,NA,Cephalopholis cyanostogmata,na,reef_other_fish
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Cephalopholis cyanostogmata,na,reef_other_fish
post-birth/hatching maternal dependence,NA,Epinephelus lanceolatus,na,reef_other_fish
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Epinephelus lanceolatus,na,reef_other_fish
post-birth/hatching maternal dependence,NA,Epinephelus itajara,na,reef_other_fish
post-birth/hatching maternal dependence,NA,Plectropomus leopardus,na,reef_other_fish
post-birth/hatching maternal dependence,NA,Lutjanus sebae,na,reef_other_fish
post-birth/hatching maternal dependence,NA,Lutjanus carponatatus,na,reef_other_fish
post-birth/hatching maternal dependence,NA,Chaetodon trifascialis,na,reef_other_fish
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Chaetodon trifascialis,na,reef_other_fish
post-birth/hatching maternal dependence,NA,Chaetodon triangulum,na,reef_other_fish
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Chaetodon triangulum,na,reef_other_fish
post-birth/hatching maternal dependence,NA,Chaetodon auriga,na,reef_other_fish
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Chaetodon auriga,na,reef_other_fish
post-birth/hatching maternal dependence,NA,Gymnothorax javanicus,na,reef_other_fish
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Gymnothorax javanicus,na,reef_other_fish
post-birth/hatching maternal dependence,NA,Carapus bermudensi,na,reef_other_fish
post-birth/hatching maternal dependence,NA,Encheliophis gracilis,na,reef_other_fish
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Parapercis colias,na,reef_other_fish
foraging range,"number of sites, incl. terrestrial wetlands",Parapercis colias,na,reef_other_fish
foraging range,"if one/few, size",Parapercis colias,na,reef_other_fish
post-birth/hatching maternal dependence,NA,Phycoduras eques,na,reef_other_fish
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Phycoduras eques,na,reef_other_fish
foraging range,"number of sites, incl. terrestrial wetlands",Phycoduras eques,na,reef_other_fish
foraging range,"if one/few, size",Phycoduras eques,na,reef_other_fish
post-birth/hatching maternal dependence,NA,Hippocampus abdominalis,na,reef_other_fish
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Hippocampus abdominalis,na,reef_other_fish
foraging range,"number of sites, incl. terrestrial wetlands",Hippocampus abdominalis,na,reef_other_fish
foraging range,"if one/few, size",Hippocampus abdominalis,na,reef_other_fish
post-birth/hatching maternal dependence,NA,Eviota sigillata,na,reef_other_fish
post-birth/hatching maternal dependence,NA,Gobiodon histro,na,reef_other_fish
post-birth/hatching maternal dependence,NA,Gobiodon citrinus,na,reef_other_fish
post-birth/hatching maternal dependence,NA,Forsterygion varium,na,reef_other_fish
post-birth/hatching maternal dependence,NA,Salarias fasciatus,na,reef_other_fish
post-birth/hatching maternal dependence,NA,Spratelloides delicatulus,na,reef_other_fish
post-birth/hatching maternal dependence,NA,Clupea harengus,na,reef_other_fish
foraging range,"if one/few, size",Clupea harengus,na,reef_other_fish
post-birth/hatching maternal dependence,NA,Anguilla australis,na,reef_other_fish
post-birth/hatching maternal dependence,NA,Thunnus maccoyii,na,reef_other_fish
post-birth/hatching maternal dependence,NA,Katsuwonus pelamis,na,reef_other_fish
post-birth/hatching maternal dependence,NA,Corphaena hippurus,na,reef_other_fish
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Corphaena hippurus,na,reef_other_fish
post-birth/hatching maternal dependence,NA,Exocoetus volitans,na,reef_other_fish
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Exocoetus volitans,na,reef_other_fish
post-birth/hatching maternal dependence,NA,Oncorhynchus nerka,na,reef_other_fish
post-birth/hatching maternal dependence,NA,Galaxias brevipinnis,na,reef_other_fish
post-birth/hatching maternal dependence,NA,Gadus mohua,na,reef_other_fish
post-birth/hatching maternal dependence,NA,Hippoglossus stenolepis,na,reef_other_fish
post-birth/hatching maternal dependence,NA,Hoplostethus atlanticus,na,reef_other_fish
post-birth/hatching maternal dependence,NA,Hygophum proximum,na,reef_other_fish
post-birth/hatching maternal dependence,NA,Bathypterois grallator,na,reef_other_fish
post-birth/hatching maternal dependence,NA,Rexea solandri,na,reef_other_fish
foraging range,"if one/few, size","auks
(Alcidae)",na,seabirds
foraging range,"if one/few, size","penguins
(Spheniscidae)",na,seabirds
foraging range,"if one/few, size","albatrosses
(Diomedeidae)",na,seabirds
foraging range,"if one/few, size","frigatebirds and tropicbirds
(Fregatidae, Phaethontidae)",na,seabirds
foraging range,"if one/few, size","gadfly petrels
(Procellariidae: 38 species in Pseudobulweria, Pterodroma)",na,seabirds
foraging range,"if one/few, size","large petrels and shearwaters 
(Procellariidae, 38 species)",na,seabirds
foraging range,"if one/few, size","small petrels
(Procellaridae, 18 species)",na,seabirds
foraging range,"if one/few, size","storm-petrels
(Oceanitidae, Hydrobatidae)",na,seabirds
foraging range,"if one/few, size","cormorants and pelicans
(Pelecanidae, Phalacrocoracidae)",na,seabirds
foraging range,"if one/few, size","gannets and boobies
(Sulidae)",na,seabirds
foraging range,"if one/few, size",skuas (Stercorariidae),na,seabirds
